name,last_fetch_date,prices
agilent_technologies,2021-10-26,"173.5738525390625,173.0644989013672,173.7236785888672,171.1269073486328,171.22679138183594,172.2255401611328,172.55514526367188,172.1855926513672,166.17308044433594,159.70114135742188,159.80101013183594,157.33409118652344,155.79600524902344,152.36000061035156,153.02999877929688,153.64999389648438,155.32000732421875,152.47000122070312,150.02000427246094,147.9499969482422,150.22000122070312,152.58999633789062,153.27000427246094,154.77999877929688,155.6199951171875,157.58999633789062,156.94000244140625,157.97000122070312,158.33999633789062,158.19000244140625"
american_airlines_group,2021-10-26,"19.3799991607666,19.88999938964844,19.729999542236328,20.32999992370605,19.76000022888184,20.520000457763672,20.899999618530277,21.38999938964844,21.46999931335449,21.43000030517578,21.01000022888184,20.520000457763672,21.649999618530277,21.38999938964844,21.46999931335449,20.540000915527344,20.170000076293945,20.06999969482422,20.1299991607666,20.290000915527344,19.61000061035156,19.63999938964844,19.979999542236328,19.84000015258789,19.530000686645508,19.520000457763672,19.88999938964844,19.149999618530277,19.229999542236328,19.38999938964844"
advance_auto_parts,2021-10-26,"205.2100067138672,207.69000244140625,205.8000030517578,203.7100067138672,205.66000366210935,211.2100067138672,214.08999633789065,215.66000366210935,218.4600067138672,214.77999877929688,216.7700042724609,208.88999938964844,208.0,207.1699981689453,209.0200042724609,211.3000030517578,214.5,214.1499938964844,212.1199951171875,212.00999450683597,210.32000732421875,214.8600006103516,215.42999267578125,222.5200042724609,224.13999938964844,226.66000366210935,233.7100067138672,231.97000122070312,230.1300048828125,232.55999755859372"
apple,2021-10-26,"149.02999877929688,148.7899932861328,146.05999755859375,142.94000244140625,143.42999267578125,145.85000610351562,146.8300018310547,146.9199981689453,145.3699951171875,141.91000366210938,142.8300018310547,141.5,142.64999389648438,139.13999938964844,141.11000061035156,142.0,143.2899932861328,142.89999389648438,142.80999755859375,141.50999450683594,140.91000366210938,143.75999450683594,144.83999633789062,146.5500030517578,148.75999450683594,149.25999450683594,149.47999572753906,148.69000244140625,148.63999938964844,149.32000732421875"
abbvie,2021-10-26,"106.47909545898438,106.78539276123048,106.43958282470705,105.1255111694336,105.86653137207033,105.1353988647461,106.07401275634766,105.78748321533205,106.42970275878906,106.05425262451172,107.53628540039062,106.5779037475586,107.78328704833984,107.42760467529295,108.1982650756836,108.01053619384766,109.5419692993164,109.84825897216795,109.018310546875,107.26951599121094,107.22999572753906,108.91000366210938,109.33000183105467,107.43000030517578,107.4499969482422,108.41000366210938,108.76000213623048,109.13999938964844,108.5,109.48999786376952"
amerisourcebergen,2021-10-26,"125.8000030517578,124.2300033569336,123.47000122070312,121.97000122070312,121.5,122.08999633789062,122.5500030517578,122.3000030517578,122.62999725341795,121.29000091552734,122.5,119.4499969482422,119.80999755859376,118.33000183105467,118.61000061035156,116.9000015258789,118.56999969482422,119.37000274658205,122.4000015258789,119.7300033569336,118.83999633789062,120.11000061035156,119.86000061035156,118.37999725341795,119.83999633789062,122.25,122.70999908447266,123.31999969482422,122.5999984741211,122.95999908447266"
abiomed,2021-10-26,"355.17999267578125,357.8699951171875,355.0,347.3800048828125,344.989990234375,348.9599914550781,350.6099853515625,350.3599853515625,338.4700012207031,331.2699890136719,329.510009765625,325.5199890136719,323.3299865722656,313.8699951171875,332.4700012207031,337.29998779296875,340.29998779296875,337.1300048828125,332.1499938964844,334.1400146484375,336.04998779296875,345.07000732421875,351.3699951171875,351.0599975585937,349.4100036621094,346.4200134277344,349.67999267578125,352.17999267578125,354.0199890136719,348.29998779296875"
abbott_laboratories,2021-10-26,"126.99964904785156,126.94984436035156,126.3023452758789,124.38973236083984,124.6487274169922,124.17057800292967,124.81807708740234,123.89165496826172,120.1162338256836,118.2833023071289,119.0005340576172,117.67565155029295,116.75919342041016,115.0856475830078,115.4343032836914,116.04195404052734,117.45650482177734,117.93465423583984,116.43045806884766,116.86876678466795,116.54999542236328,117.56999969482422,117.48999786376952,116.81999969482422,119.33999633789062,123.30999755859376,125.0500030517578,126.72000122070312,126.58000183105467,128.1300048828125"
accenture,2021-10-26,"343.41046142578125,341.21697998046875,334.4071960449219,331.306396484375,330.1697692871094,333.6693725585937,341.98468017578125,338.2258605957031,333.51983642578125,323.25030517578125,322.57232666015625,318.9730224609375,323.8983764648437,318.5442810058594,324.1576232910156,324.2274169921875,325.2842712402344,324.2274169921875,325.5335388183594,326.7200012207031,330.17999267578125,339.0400085449219,341.82000732421875,343.17999267578125,349.739990234375,345.79998779296875,347.1199951171875,353.7900085449219,356.44000244140625,356.3399963378906"
adobe,2021-10-26,"661.0800170898438,665.1099853515625,654.47998046875,641.2899780273438,645.8900146484375,626.0800170898438,630.8400268554688,622.7100219726562,603.6500244140625,578.77001953125,577.7000122070312,575.719970703125,577.469970703125,558.489990234375,566.7000122070312,570.3099975585938,578.9600219726562,576.8599853515625,573.0700073242188,580.6900024414062,591.1199951171875,607.510009765625,610.0900268554688,622.8300170898438,636.0700073242188,632.3699951171875,638.6599731445312,643.5800170898438,646.969970703125,642.5"
analog_devices,2021-10-26,"174.0800018310547,173.2100067138672,171.52000427246094,169.47999572753906,170.57000732421875,173.85000610351562,177.22999572753906,178.52999877929688,176.91000366210938,171.2899932861328,168.83999633789062,167.47999572753906,167.3699951171875,164.25999450683594,165.3699951171875,166.0500030517578,166.97999572753906,168.6199951171875,167.89999389648438,164.02000427246094,164.35000610351562,168.1999969482422,172.0399932861328,173.3300018310547,176.6300048828125,176.9199981689453,178.80999755859375,178.4199981689453,180.5200042724609,179.8800048828125"
adm,2021-10-26,"62.52000045776367,63.0,62.38999938964844,60.52000045776367,60.02000045776367,58.9900016784668,60.27999877929688,59.7599983215332,60.7599983215332,60.56999969482422,60.77999877929688,60.0099983215332,60.79999923706055,61.15999984741211,62.27999877929688,62.29999923706055,63.02000045776367,63.290000915527344,63.970001220703125,63.38999938964844,62.91999816894531,64.16999816894531,63.95000076293945,63.79999923706055,64.54000091552734,64.83999633789062,64.87000274658203,66.22000122070312,66.62999725341797,65.36000061035156"
automatic_data_processing,2021-10-26,"200.5200042724609,198.3999938964844,198.6699981689453,198.80999755859372,197.0500030517578,198.30999755859372,201.38999938964844,202.22000122070312,201.72000122070312,197.27999877929688,199.5800018310547,199.9199981689453,202.0,199.97000122070312,203.75999450683597,204.9900054931641,207.57000732421875,206.16000366210935,203.75,203.83999633789065,205.19000244140625,208.5200042724609,212.97999572753903,212.57000732421875,213.97999572753903,213.0500030517578,214.7100067138672,217.75,218.07000732421875,218.8000030517578"
